Name,Number,Code TLA,Codename,Pre-release codename,Manufacturer,FCC,TENAA,Canada,EEC,Bluetooth,Wifi
Nokia 210,TA-1139,,,,,,http://www.tenaa.com.cn/WSFW/LicenceShow.aspx?code=bEvDcyxjmgSZJFNZfyf%2bLIcCBjNDQiBUEwjhYq77%2bDqyWxVlq9y7YLD5PlaHZaQK,,NPU,,
Nokia 220 4G (US),TA-1155,,,,,https://fccid.io/2AJOTTA-1155,,,,,
Nokia 220 4G,TA-1148,,,,,,,,,,
Nokia 220 4G,TA-1171,,,,,https://fccid.io/2AJOTTA-1171,,,,,
Nokia 2720 (China),TA-1170,BTS,Beatles,,,,http://shouji.tenaa.com.cn/Mobile/MobileDetail.aspx?code=g61T3CysTlSvI%2bQgKH174dFDgRiWUDXkkWutdRx0GZAgE8OrFzKf9w%3d%3d,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA90216
Nokia 2720 EEC,TA-1175,BTS,Beatles,,,https://fccid.io/2AJOTTA-1175,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91236
Nokia 2720,TA-1168,BTS,Beatles,,,,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91234
Nokia 2720,TA-1173,BTS,Beatles,,,https://fccid.io/2AJOTTA-1173,,,,,http://certifications.prod.wi-fi.org/pdf/certificate/public/download?cid=WFA91235
Nokia 2V,TA-1136,EVW,,,,https://fccid.io/2AJOTTA-1136,,,,https://launchstudio.bluetooth.com/ListingDetails/71526,
Nokia 3 (Dual SIM),TA-1032,NE1,Essential,,,,,,,,
Nokia 3 (Dual SIM),TA-1038,NE1,Essential,,,,,,,,
Nokia 3,TA-1020,NE1,Essential,,,,,,,,
Nokia 3,TA-1028,NE1,Essential,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=3&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 3,TA-1031,NE1,Essential,,,,,,,,
Nokia 3.1 (Dual SIM),TA-1049,ES2 (ES2N?),Essential2,,,,,,,,
Nokia 3.1 (Dual SIM),TA-1063,ES2 (ES2N?),Essential2,,,,,,,,
Nokia 3.1 (Single SIM),TA-1057,ES2 (ES2N?),Essential2,,,,,,,,
Nokia 3.1 (Single SIM),TA-1074,ES2 (ES2N?),Essential2,,,,,https://sms-sgs.ic.gc.ca/equipmentSearch/searchRadioEquipments?index=6&execution=e1s2&_eventId=showEquipmentDetails,,,
Nokia 3.1 Plus (CN),TA-1117,ROO / ROON?,Rooster,,,,,,,,
